Location ID,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description
454,454,WINSLOW - DALESFORD PARKETTE,park,,Wesley St & Dalesford Rd,,Etobicoke York,107,,WESLEY,ST,,,
455,455,MASSEY HARRIS PARK,park,,King St W & Massey St,,Toronto East York,945,,KING,ST,W,,
456,456,GAMBLE PARK,park,,Gamble Ave & Todmoreden Lane,,Toronto East York,150,,GAMBLE,AVE,,,
457,457,MAPLE LEAF COTTAGE,,,Laing St & Queen St E,,Toronto East York,62,,LAING,ST,,,
458,458,TOWN HALL SQUARE,park,,Yorkville Ave & Yonge St,,Toronto East York,20,,YORKVILLE,AVE,,,
459,459,CHERRY BEACH SPORTS FIELDS,park,,Unwin Ave & Regatta Rd,,Waterfront,275,,UNWIN,AVE,,,
460,460,TORONTO TRACK AND FIELD CENTRE,crc,,,,North York,4700,,KEELE,ST,,M3J 1P3,"The nature and character of Toronto Track and Field Centre lends itself to both daily training and high calibre track and field competitions. In total, the combined indoor/outdoor facilities occupy approximately 14 acres of land (fronting on Steeles Avenue West) with ample parking on the York University campus.<br><br>
The Toronto Track and Field Centre is <a href=""/wps/portal/contentonly?vgnextoid=61dfdada600f0410VgnVCM10000071d60f89RCRD&amp;vgnextchannel=e54cbed44c651410VgnVCM10000071d60f89RCRD"">now open</a>."
461,461,WYCHWOOD BARNS PARK,park,,Wychwood Ave & Benson Ave,,Toronto East York,76,,WYCHWOOD,AVE,,,"This location is the park area that surrounds the former Toronto Transit Commission Barns on three sides. Park features include a children's playground, an open sports field with a natural ice rink in winter, a fenced in dog off-leash area, a beach volleyball court and picnic tables. In addition, approximately 150 trees, 1,500 shrubs and 900 perennials and grasses have been planted. There are circulation paths in the park aligned with the surrounding streets, such as Helena Avenue between Wychwood Avenue and Christie Street on the east-west axis and Slade Avenue on the north-south axis, as well as meandering paths, some of which follow the former streetcar tracks. The layout is intended to complement and create as few barriers as possible, both physical and conceptual, between the park and the buildings and between indoor and outdoor environments."
462,462,JOYCE TRIMMER PARK,park,,Sheppard Ave E & Conlins Rd,,Scarborough,8450,,SHEPPARD,AVE,E,,"A 2 hectare park on Sheppard Avenue East near Morningside Avenue that features a multipurpose sports field, a basketball court, a gazebo, a splash pad and a children's playground."
463,463,BANTING PARK,park,,Banting Ave & Embro Dr,,North York,40,,BANTING,AVE,,,
464,10,HUMBER MARSHES,park,,Bloor St W & Riverside Dr,,Etobicoke York,2595,,BLOOR,ST,W,,"The Humber Marshes are one of the few remaining river mouth marshes in Toronto. These extensive marshes provide a breeding habitat for ducks, turtles and fish. Humber River's significance is being recognized by its designation in 1999 as a Canadian Heritage River. The Humber River watershed is the largest in Toronto. It is a significant corridor for migratory song birds and monarch butterflies. More than 60 species of fish live in the river including such sport fish as trout, pike and salmon. A sand dune marks the approximate location of the original Lake Ontario shoreline, prior to land filling. Near here was the site of a French trading fort in 1749 and a French merchant's cabin in 1790.

<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>. The stretch of water from the mouth of Humber River upstream to Lakeshore Blvd. is known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
465,465,BOND PARK,park,,Bond Ave & Scarsdale Rd,,North York,120,,BOND,AVE,,,This 6.8 hectare park features five ball diamonds and a club house. Four of the diamonds have lights for nighttime play. The park also has six tennis courts.
466,466,COLONEL SAMUEL SMITH PARK,park,,,,Etobicoke York,3145,,LAKE SHORE,BLVD,W,,"This park is located along a stretch of wooded shoreline in the Kipling and Lakeshore area. It is home to a variety of plants, trees, birds and other wildlife, as well as a network of paths and the city's first ice skating trail (in a figure-eight shape). The pleasure ice skating trail is located next to the Power House Recreation Centre (65 Colonel Samuel Smith Park Road), which houses an indoor skate changing area. The park also features a dog off-leash area.
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - Great place to watch a sunrise.<br>
WILDLIFE - Designated Toronto Bird Sanctuary and listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>. Also known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
467,467,CORONATION PARK - TORONTO,park,,Lake Shore Blvd W & Fort York Blvd,Take the 511 Bathurst or 509 Harbourfront Streetcar to the Exhibition Loop (Princes' Gates). Walk out to Strachan then south across Lake Shore Blvd. and into the Park. Alternately take the 29D Dufferin Bus to Exhibition Loop.,Waterfront,711,,LAKE SHORE,BLVD,W,,Coronation Park can be found just east of Ontario Place along the Martin Goodman Trail. A Royal Oak commemorating the Coronation of King George VI is planted in the south west corner of the Park. This Oak is surrounded by a ring of others and a grove of maple trees all planted in honour of Canadian War Veterans. There is also a World War II memorial a few meters to the east. Coronation Park has three softball diamonds and a dog off-leash area. It is a beautiful spot to sit along the shoreline of Lake Ontario and enjoy a picnic on a warm summer day.
468,468,DOWNSVIEW DELLS PARK,park,,Jane St & Troutbrooke Dr,,North York,2515,,JANE,ST,,,Downsview Dells Park is a 75 hectare park that follows the Black Creek ravine south of Sheppard Avenue to Jane Street at Troutbrooke Drive. The park features multiple picnic areas and fire pits in a wilderness and wetland setting.
469,469,AMES PARK,park,,Banbury Rd & York Mills Rd,,North York,272,,BANBURY,RD,,,A 3 hectare park on York Mills Road just west of Leslie Street featuring a children's playground and an open field.
470,470,BROOKFIELD PARKETTE,park,,Brookfield Rd & Plymbridge Cres,,North York,27,,BROOKFIELD,RD,,,A small tree-lined park with open green space near York Mills Road and Yonge Street. A natural ice rink is available in the winter when weather permits.
471,471,MARILYN BELL PARK,park,,Lake Shore Blvd W & British Columbia Rd,,Waterfront,1095,,LAKE SHORE,BLVD,W,,"Marilyn Bell Park is located just west of Ontario Place along the lake shore. It is part of a long chain of parks along the western waterfront and includes part of the Martin-Goodman/Waterfront Trail. The Park is named after Marilyn Bell, a local Toronto girl who was the first person to swim across Lake Ontario. She was only sixteen at the time and she made the 52 <abbr title=""Kilometres"" alt=""Kilometres"">km </abbr> swim in 20 hours and 59 minutes. The Park was dedicated to her on the 30th anniversary of her swim in 1984. Marilyn Bell park has a beautiful boardwalk along the lake shore, biking and walking trails and is a lovely spot for a picnic."
472,472,AMESBURY COMMUNITY CENTRE,crc,Fully Accessible,Lawrence Ave W & Pimlico Rd,Travel to Eglinton Station.  Board the 54A Lawrence East and travel to Carnforth.  Walk to 1507 Lawrence Ave W.,Etobicoke York,1507,,LAWRENCE,AVE,W,M6L 1A8,"Amesbury Community Centre, located between Black Creek Drive and Keele Street on Lawrence Avenue West, offers a wide range of programs for all ages. Entrance to the centre is from the Amesbury Park side. Come and visit the centre and join in one of our many programs."
473,473,EDWARDS GARDENS,park,,Lawrence Ave E & Blaine Dr,"TTC accessible from Eglinton station, take the Lawrence East bus 54 or 54A, or Leslie 51.",North York,755,,LAWRENCE,AVE,E,,"A former Estate garden featuring perennials and roses on the uplands and wildflowers, rhododendrons and an extensive rockery in the valley. Among the formal gardens and brilliant floral displays, there are also rock gardens, a greenhouse, wooden arch bridges, a waterwheel, fountains, and many walking trails. On the upper level of the valley there is an arboretum beside the Children's Teaching Garden. Edwards Gardens is also home to the <a href=""/wps/portal/contentonly?vgnextoid=7170dada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=f927c6e0fcc31410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Toronto Botanical Gardens (TBG)</a>. The TBG offers programs, garden tours, nature day camps, field trips and an extensive horticultural library.
<br><br>
<strong>Special Features</strong><br>
AWARDS - 2013 Canadian Society of Landscape Architects (CSLA) Regional Citation Award, New Directions for transforming the largest parking lot in Toronto's parks system through into a showcase of sustainable design."
474,474,CENTENNIAL RECREATION CENTRE WEST AND YORK MUSEUM,crc,Fully Accessible,Eglinton Ave W & Bicknell Ave,Travel to Eglinton West Station.  Board the 32D Eglinton West and travel to Bicknell.  Arrive at 2694 Eglinton Ave West.,Etobicoke York,2694,,EGLINTON,AVE,W,M6M 1T9,"Centennial Recreation Centre West is located one block west of Keele Street on Eglinton Avenue West. It is a shared use facility with the <abbr title=""Toronto District School Board"" alt=""Toronto District School Board"">TDSB</abbr> and is attached to York Memorial Collegiate Institute.  Programming is offered mainly in the evenings and on Saturdays throughout the Fall, Winter and Spring. Summer programming includes camps and instructional swimming. The pool (25 yd 6 lanes) offers a broad spectrum of aquatic programs evenings and weekends, including lessons for all ages, aquafit, leisure swims and leadership courses. Please contact (416) 394-2475 for General & Sports Programs and Camps, (416) 394-2476 for Aquatic Programs."
476,476,CHRIS TONKS ARENA,crc,,,Travel to Keele Station. Board 41 Keele Bus. Exit the Bus at Eglinton Ave West. Walk West on Eglinton Ave W.,Etobicoke York,95,,BLACK CREEK,DR,,M6N 2K6,This arena is located on the corner of Black Creek Dr. and Eglinton Ave. West. This facility offers Learn to Skate Programs for all ages. We also offer both supervised and unsupervised skates including public skates and shinny hockey for various age groups.
477,477,PHIL WHITE ARENA,crc,,,"From St. Clair West Station: Take 90A Vaughan toward Oakwood. Exit bus at Arlington Avenue. Walk West on Vaughan Road (35 metres), turn right at Arlington Avenue (291 metres).",Toronto East York,443,,ARLINGTON,AVE,,M6C 3A4,"The Phil White Arena is located in Toronto's Cedarvale neighbourhood. It is a single pad facility offering ice for private permitting seven days a week between October and March. The City of Toronto offers various Learn-to-Skate programs as well as Drop-in Skating for Older Adults, Drop-in Skating for All Ages and Drop-in Hockey."
478,478,HARWOOD HALL,crc,,Cayuga Ave & Avon Ave,Travel to Keele Station.  Board the 89 Weston and travel to Seneca.  Walk west to where Seneca meets Cayuga.  Walk to 85 Cayuga Ave,Etobicoke York,85,,CAYUGA,AVE,,M6N 2G4,Harwood Hall is located near Weston Road and Rogers Road. It has a medium sized multipurpose room with a kitchen in a separate room. The Hall is not intended for large functions or those involving alcohol. There are tables and chairs to accommodate groups of 40 or less. Limited street parking is available however no onsite parking is available.
479,479,LAMBTON ARENA,crc,,,"Travel to High Park Station board the 30 Lambton bus. Exit at Howland Ave, Walk up hill to the arena.",Etobicoke York,4100,,DUNDAS,ST,W,M6S 2T7,This arena is located off of Dundas St. West in Lambton Park. This facility offers Learn to Skate Programs for all ages. We also offer unsupervised public skates.
480,472,AMESBURY SPORTS COMPLEX,,,,,Etobicoke York,155,,CULFORD,RD,,M6M 4K6,
481,481,NORTHWOOD PARK,park,,Stilecroft Dr & Benjamin Boake Trail,,North York,140,,STILECROFT,DR,,,"Northwood Park is a 25 hectare park that follows the Black Creek ravine south from Grandravine Drive to Sheppard Avenue. Connecting with Derrydowns Park to the north and Downsview Dells Park to the south, this park features a fire pit mid park."
482,482,FAIRBANK MEMORIAL COMMUNITY CENTRE,crc,Fully Accessible,,Travel to Dufferin Station.  Board the 29D Dufferin  and travel to Gibson Farside.  Walk to 2213 Dufferin St,North York,2213,,DUFFERIN,ST,,M6E 3S2,"Located in the Dufferin Street & Eglinton Avenue West area, Fairbank Memorial Community Centre is a multilevel facility that offers a wide variety of programs ranging from arts, dance, music, fitness and sports. The Centre is also home to the York Fairbank Centre for Seniors which provides recreation and social programs geared towards older adults (membership required separate from the City). Fairbank Memorial Community Centre takes great pride in being able to serve the community by offering programs that cater to participants of all ages from preschool, children, youth, adults and seniors."
483,483,HERBERT H. CARNEGIE CENTENNIAL CENTRE,crc,Partially Accessible,,,North York,580,,FINCH,AVE,W,M9M 3A3,"Formerly known as the North York Centennial Arena, this facility was renamed May 2, 2001 to honour the former hockey star <a href=""/wps/portal/contentonly?vgnextoid=bdc41076b6ed3410VgnVCM10000071d60f89RCRD""> Herbert H. Carnegie </a> who passed away in March 2012. The centre features an indoor ice rink which in the summer becomes an indoor dry pad for sports such as ball hockey and lacrosse."
484,472,AMESBURY PARK,park,,Culford Rd & Vanwyck Rd,,Etobicoke York,151,,CULFORD,RD,,,"A 12 hectare multi use park on Lawrence Avenue between Keele Street and Black Creek Drive This park features three ball diamonds (two with lights), a multipurpose sports field, tennis courts, bocce courts, an outdoor basketball court and two children's playgrounds. Adjacent to the park are the Amesbury Community Centre and the Amesbury Sports Complex."
485,485,CENTRE PARK,park,,Centre Ave & Yonge St,,North York,15,,CENTRE,AVE,,,A 1.1 hectare tree-lined park near Yonge Street and Steeles Avenue East featuring a ball diamond and a children's playground.
486,486,CHALKFARM COMMUNITY CENTRE,crc,Partially Accessible,,"Travel to Lawrence West Station.  Board the 58B Malton and travel to Jane.  Disembark. On the Northbound side of Jane at Lawrence, board the 35C Jane and travel to Heathrow.  Walk west on Chalkfarm to number 180.",Etobicoke York,180,,CHALKFARM,DR,,M3L 2H8,"A facility located in the Jane Street and Wilson Avenue area within the apartment complex behind Sheridan Mall. Chalkfarm Community Centre is a recreational programming centre with a variety of opportunities for everyone from preschool to older adults. Chalkfarm Community Centre offers a wide range of activities including fitness, youth, sports, after school and preschool programs. Chalkfarm Community Centre is geared to provide for the needs of the community.
<br><br>
This location is a <a href=""/wps/portal/contentonly?vgnextoid=aaafdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=a96adada600f0410VgnVCM10000071d60f89RCRD#location"">community centre where programs are free</a>."
487,487,ANCASTER COMMUNITY CENTRE,crc,Fully Accessible,Ancaster Rd & Katherine Rd,Travel to Wilson Station. Board the 165 Weston Road North. Travel to Lady York.  Walk west along Wilson to Ancaster and then go North to 41 Ancaster Dr.,North York,41,,ANCASTER,RD,,M3K 1S7,"Ancaster Community Centre is a small but very active hub for the Ancaster community located in the Wilson and Dufferin area. The programs offered are very popular, so sign up early and often."
488,488,CHELTENHAM PARK,park,,Mildenhall Rd & Cheltenham Ave,,North York,43,,MILDENHALL,RD,,,A small park near Lawrence Avenue East and Bayview Avenue that features a ball diamond and a multipurpose sports field.
489,475,DRIFTWOOD PARKETTE,park,,Driftwood Ave & Driftwood Crt,,North York,359,,DRIFTWOOD,AVE,,,
490,490,CLANTON PARK,park,,Palm Dr & Bathurst St,,North York,30,,PALM,DR,,,"This 4.6 hectare park near Bathurst and Wilson Road features two ball diamonds, tennis courts and a children's playground."
491,487,ANCASTER PARK,park,,Ancaster Rd & Spalding Rd,,North York,43,,ANCASTER,RD,,,"This 2.8 hectare Downsview neighbourhood park features a multipurpose sports field, a ball diamond, tennis courts, a bocce court, a children's playground and a splash pad."
492,492,WILKET CREEK PARK,park,,Leslie St & Eglinton Ave E,,North York,1100,,LESLIE,ST,,,"This 44 hectare valley wilderness park offers more than 2 <abbr title=""Kilometres"" alt=""Kilometres"">km </abbr> of pedestrian/bicycle trails as well as plenty of undisturbed woodland excellent for nature walks. Park facilities include a winterized fully-accessible washroom, drinking fountains, a water tap, picnic area and fire pits. Alexander Milne first settled in the northern end of the valley now known as Wilket Creek following the War of 1812. From this period until the 1950s it was known as Milne Creek. Wilket Creek Park is known for its mature coniferous and deciduous forest communities. Mature stands of Eastern Hemlock, Sugar Maple, American Beech, Red Oak and Hop Hornbeams thrive along the valley walls. A diversity of species may be found within the valley, including such rare plants as Canada Sicklepod (Senna obtusifolia), Snakerod, and New York Fern. Some uncommon bird species have also visited during seasonal migrations."
493,493,CLIFFWOOD PARK,park,,Cliffwood Rd & Hollyberry Trail,,North York,280,,CLIFFWOOD,RD,,,"A 2.6 hectare park near Don Mills Road and Steeles Avenue East featuring a multipurpose sports field, a ball diamond, three outdoor tennis courts and a children's playground."
494,494,CLYDESDALE PARK,park,,Clydesdale Dr & Kathrose Dr,,North York,116,,CLYDESDALE,DR,,,"A 2.8 hectare park near Victoria Park Avenue and Sheppard Avenue East. This park features a ball diamond, a multipurpose sports field, four lit outdoor tennis courts with a clubhouse, five lit bocce courts and a children's playground. The park is home to the Pleasantview Tennis Club and the Oriole Bocce Club."
495,495,ANCONA PARK,park,,Ancona St & Finch Ave W,,North York,15,,ANCONA,ST,,,"A 1.6 hectare park near Bathurst Street and Finch Avenue West featuring a ball diamond, a children's playground and an artificial ice rink.
"
496,496,CRESTHAVEN PARK,park,,Cresthaven Dr & Tristan Cres,,North York,37,,CRESTHAVEN,DR,,,"A 2.7 hectare park near Finch Avenue East and Leslie Street featuring four lit outdoor tennis courts and clubhouse, a children's playground and an open green space."
497,476,KEELESDALE SOUTH PARK,park,,Black Creek Dr & Eglinton Ave W,,Etobicoke York,95,,BLACK CREEK,DR,,,
498,498,ANTIBES PARK,park,,Antibes Dr & Candle Liteway,,North York,109,,ANTIBES,DR,,,This Bathurst Street and Finch Avenue West neighbourhood park features 1.6 hectares of open space and a children's playground.
499,499,CUMMER PARK COMMUNITY CENTRE,crc,Fully Accessible,Leslie St & Cummer Ave,Travel to Leslie Station.  Board the 51 Leslie and travel to Dexter.  Arrive at 6000 Leslie Street.,North York,6000,,LESLIE,ST,,M2H 1J9,"Cummer Park Community Centre offers a wide variety of programming including an adult fitness club, swimming and skating lessons, leisure swimming and skating, fitness classes, yoga, tai chi, Pilates, Latin dance, watercolour painting, art studio for children, youth club for teens and summer sports camps. Outdoor activities include sports pad, tennis courts, softball diamond, playground and skate park."
500,500,APTED PARK,park,,Apted Ave & Whitfield Ave,,Etobicoke York,50,,APTED,AVE,,,"A 2.2 hectare park near Islington Avenue and Steeles Avenue West featuring a ball diamond, a multipurpose sports field and a children's playground."
501,501,DUNLACE PARK,park,,Dunlace Dr & Davean Dr,,North York,28,,DUNLACE,DR,,,"A 1.9 hectare park near Leslie Street and Highway 401 featuring three lit outdoor tennis courts with a clubhouse and a children's playground. The park is home to the <a href=""http://dunlacetennis.com/"">Dunlace Park Tennis Club</a>."
502,502,FAIRBANK MEMORIAL PARK,park,,,,North York,2213,,DUFFERIN,ST,,,"This 3.5 hectare park on Dufferin Street just south of Eglinton Avenue features a lit ball diamond, five bocce courts, a basketball court, a children's playground and two outdoor pools. Located on site is the Fairbank Memorial Community Recreation Centre."
503,503,ARMOUR HEIGHTS COMMUNITY CENTRE,crc,Partially Accessible,,Travel to York Mills Station. Board the 165 Weston Road North and travel to Avenue Road.  Walk to 2140 Avenue Rd.,North York,2140,,AVENUE,RD,,M5M 4M7,"Armour Heights Community Centre is located on Avenue Road and Wilson Avenue. There are recreational programs offered for every age group seven days a week. There are also a large number of special interest groups/clubs that offer programs at the centre, ie. doll house or model car building, faceters' club, etc.. as well as support groups, i.e.. MS Society, Celiac Assoc., etc."
504,504,SMYTHE PARK,park,,,,Etobicoke York,61,,BLACK CREEK,BLVD,,,"A 15.3 hectare park along the Black Creek ravine between Jane Street and Scarlett Road north of St. Clair Avenue West. This park features trails along the Black Creek, three ball diamonds (one with lights), a splash pad and a children's playground. At the east end of the park is the Smythe Park Outdoor Pool. 
<br /><br />
Smythe Park Outdoor Pool is located in the heart of Smythe Park, nearest intersection is Jane Street and St. Clair Avenue West. This facility includes a baby/tot pool and there is a Splash Pad located at the nearby park. Our recreational swims include daily afternoon and evening leisure swims and evening lane swims. Swimming lessons are not offered."
505,505,BALMORAL PARK,park,,Faywood Blvd & Joel Swirsky Blvd,,North York,170,,FAYWOOD,BLVD,,,
506,506,MCGREGOR PARK COMMUNITY CENTRE,crc,Fully Accessible,Lawrence Ave E & Canlish Rd,Travel to Eglinton Station.  Board the 54A Lawrence East and travel to the farside of Canlish.  Arrive at 2231 Lawrence Avenue East,Scarborough,2231,,LAWRENCE,AVE,E,M1C 3B2,"Large multipurpose facility featuring year round programming for all ages and abilities. Programs include art, skating, fitness and general interest classes, as well as drop-in times for older adults, preschoolers and youth. Recreational swim and skate times offered. Direct Access to Toronto Public Library - McGregor Branch."
507,550,BIRCHMOUNT COMMUNITY CENTRE,crc,Fully Accessible,,"Travel to Warden Station.  Board the 69B Warden South and travel to Danforth Avenue, Walk south to 93 Birchmount Road.",Scarborough,93,,BIRCHMOUNT,RD,,M1T 2M5,"The Birchmount Community Centre is a multipurpose facility with programs & services offered through the Birchmount Bluffs Neighbourhood Centre.<br><br>
Birchmount Leisure Pool is one of two leisure pools in the Scarborough District providing swim lessons, lane, leisure, family swims and birthday parties for all ages. Our features include a sauna, warm conversation pool with jets, a large water slide, children's shallow area with a children's slide and a spraying elephant. Our programs accommodate participants from preschoolers to older adult."
508,508,WESTON LIONS PARK,park,,,Travel to Lawrence West Station.  Board the 58B Malton and travel to Little.  Arrive at 2125 Lawrence Avenue.,Etobicoke York,2125,,LAWRENCE,AVE,W,,"A 7.4 hectare park on the east bank of the Humber River at Lawrence Avenue and Weston Road. This park features two ball diamonds including one with lights, a lit artificial turf sports field, four lit tennis courts, a skateboard area, a basketball court, a splash pad and a children's playground. Also located near the park entrance is the Weston Lions Park Outdoor Pool and Weston Arena.
<br /><br />
Welcome to Weston Lions Outdoor Pool - We offer the perfect outing for all families with two pools that can satisfy all water needs. We offer leadership training and junior lifeguard club on weekday mornings followed by afternoon and evening public swimming."
509,509,JOSEPH J. PICCININNI COMMUNITY CENTRE,crc,Partially Accessible,St Clair Ave W & Lansdowne Ave,Travel to St Clair West Station.  Board the 512 St Clair and travel to Lansdowne.  Walk west to 1369 St Clair Ave W.,Etobicoke York,1369,,ST CLAIR,AVE,W,M6E 1C5,"Joseph J. Piccininni Community Centre is one of the largest facilities in Toronto. We offer a variety of programs for everyone from preschoolers to older adults, all of which are located in accessible areas. The pool offers programs including swimming lessons, lane swim, aqua fitness, leisure swim, leadership courses, fitness, sports, female only swims and much more. Our B facility Health Club has all new cardio, muscular strength and free weight equipment and knowledgeable staff to assist and guide you. Fitness classes and swimming are included with all membership options."
510,510,RUNNYMEDE COLLEGIATE INSTITUTE,,,,,Etobicoke York,569,,JANE,ST,,,
511,511,BANBURY COMMUNITY CENTRE,crc,Partially Accessible,Banbury Rd & Caravan Dr,,North York,120,,BANBURY,RD,,M3B 2L3,"Banbury Community Centre is situated in the beautifully quiet residential neighbourhood at Leslie Street and York Mills Road. The community centre is very popular for its banquet hall facilities. With traditional hardwood floors and a stage, it is perfect for your next family or corporate function.  Other rooms are suitable for small meetings and quiet activities. Large windows in many of the programming spaces, offer scenic views of the wooded parkland that is Windfield Park. The grounds also include four tennis courts, two playgrounds, a giant sandbox and a playing field. The centre offers a variety of fitness classes, preschool programs and older adult general interest programs such as watercolour painting, life drawing, ballroom, Scottish and folk dancing. A large preschool camp operates during the summer months."
512,512,BAYCREST ARENA,,Partially Accessible,Neptune Dr & Baycrest Ave,,North York,160,,NEPTUNE,DR,,,
513,512,BAYCREST PARK,park,,Neptune Dr & Baycrest Ave,,North York,160,,NEPTUNE,DR,,,"This 9 hectare park near Allen Road and the 401 features a lit ball diamond, multi-sport field, tennis courts and a children's playground. Adjacent to the park is Baycrest Arena."
514,509,EARLSCOURT PARK,park,,Lansdowne Ave & Davenport Rd,,Etobicoke York,1200,,LANSDOWNE,AVE,,,"A 12.6 hectare park at Caledonia Road and St. Clair Avenue West. This park feature a lit artificial turf soccer field, a lit multipurpose sports field and track, a ball diamond, four tennis courts, basketball court, volley ball court, a dog off-leash area, a children's playground, a wading pool and many walking paths."
515,515,BAYVIEW ARENA,,Partially Accessible,Bayview Ave & Ruddington Dr,,North York,3230,,BAYVIEW,AVE,,,
517,517,BAYVIEW VILLAGE PARK,park,,Bayview Ave & Princess Ave,,North York,2945,,BAYVIEW,AVE,,,"A 5.2 hectare park on Bayview Avenue north of Sheppard Avenue East that features a ball diamond, three outdoor tennis courts, a splash pad and a children's playground. There is a small parking lot off Bayview Avenue."
518,518,BELLBURY PARK,park,,Van Horne Ave & Seneca Hill Dr,,North York,55,,VAN HORNE,AVE,,,"A 4.1 hectare park near Finch Avenue East and Leslie Street featuring five lit outdoor tennis courts, a basketball court, two children's playgrounds and a splash pad. The park is home to the Bellbury Park Tennis Club."
519,518,BELLBURY PARK TENNIS CLUB,,,Van Horne Ave & Seneca Hill Dr,,North York,55,,VAN HORNE,AVE,,,
520,520,BENJAMIN BOAKE GREENBELT,park,,,"Take the 84 Sheppard West Bus to the Downsview Dells Park Stop, cross north into the park.",North York,133,,BENJAMIN BOAKE,TRL,,,"Benjamin Boake Greenbelt is part of a series of parks that make up a densely forested trail in a shallow ravine to the northwest of the Sheppard and Keele intersection. You can hike all the way from the Downsview Dells to the Black Creek Parklands along this forested trail. Bird watching, biking and hiking are just a few of the popular uses of the Benjamin Boake Greenbelt."
521,521,BESTVIEW PARK,park,,,,North York,115,,BESTVIEW,DR,,,"A 3.6 hectare park near Steeles Avenue East and Leslie Street featuring a ball diamond, three lit outdoor tennis courts and children's playground. Paved paths connect the park to the East Don Parklands and the Don River. There are also approximately two kilometres of natural surface (dirt) trails located within the natural areas in Bestview Park. <br><br>
The City of Toronto is currently developing <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=3a4189c3fe1b1510VgnVCM10000071d60f89RCRD&vgnextchannel=b1d9e1ee6bb0a410VgnVCM10000071d60f89RCRD"">a concept plan</a> for the Bestview nature trails to identify areas for improvement."
522,522,ADAMS PARK,park,,Rozell Rd & Kilsyth Dr,,Scarborough,2,,ROZELL,RD,,,"Adams Park is a 15.8 hectare park located near Port Union Road and Highway 401. This park features two lit ball diamonds, a multipurpose sports field, a splash pad, a children's playground and a picnic area."
523,523,AGINCOURT RECREATION CENTRE,crc,Fully Accessible,,Travel to Kennedy Station.  Board the 57 Midland and travel to the farside of Rural. Walk east on Rural to 31 Glen Watford Drive.,Scarborough,31,,GLEN WATFORD,DR,,M1S 2B7,"Agincourt Community Recreation Centre & Leisure Pool is one of only two leisure pools in the Scarborough District providing lessons, recreation swims and birthday parties for all ages. We are home to Agincourt Lions Club, Agincourt Lawnbowling Club, Scarborough Horseshoe Club and Agincourt Tennis Club. Our programs accommodate participants from Preschoolers to the Older Adult. Two indoor rinks provide ice for hockey and leisure skates. The centre also offers a <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0c4dbc758e27d410VgnVCM10000071d60f89RCRD&vgnextchannel=1128dada600f0410VgnVCM10000071d60f89RCRD&appInstanceName=default"">Snoezelen Room</a>. Please contact the centre for details."
526,526,ALEXMUIR PARK,park,,Alexmuir Blvd & Homedale Dr,,Scarborough,205,,ALEXMUIR,BLVD,,,A 2.6 hectare park near Brimley Road and McNicoll Avenue featuring two multipurpose sports fields and a children's playground.
527,527,ANSON PARK,park,,Macduff Cres & Randall Cres,,Scarborough,50,,MACDUFF,CRES,,,"This 2.2 hectare park features two ball diamonds.
"
528,528,ARSANDCO PARK,park,,Prudential Dr & Lawrence Ave E,,Scarborough,151,,PRUDENTIAL,DR,,,This 1.6 hectare park features a ball diamond.
529,529,AUDRELANE PARK,park,,Audrelane Crt & O'Halloran Cres,,Scarborough,60,,AUDRELANE,CRT,,,"A 2.7 hectare park near Steeles Avenue East and Brimley Road featuring paved paths connecting neighbouring streets to a central children's playground and a junior/mini soccer field. 
"
530,530,ROSEDALE RAVINE LANDS,Other,,Bloor St E & Sherbourne St N,,Toronto East York,450,,BLOOR,ST,E,,
532,475,EDGELEY PARK,park,,Jane St & Milo Park Gate,,North York,4401,,JANE,ST,,,This 4 hectare park at Jane and Driftwood features a basketball court and a children's playground. At the centre of the park is the Driftwood Community Recreation Centre.
533,494,CLYDESDALE PARK - TENNIS COURT AREA,,,Clydesdale Dr & Kathrose Dr,,North York,116,,CLYDESDALE,DR,,,
